Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_174	0.0014039999999999999	0.01732	0.0024812	0.046865	0.00044956	0.9308700000000001	0.00060865	6403.0	0.0	2	1	1	620.35763	-158.29196000000002
cell_221	0.00096411	0.026206	0.0020767	0.066754	0.00027478	0.9033100000000001	0.00040963	6724.0	0.0	2	1	1	597.73162	-172.43219
cell_246	0.0025178	0.07634500000000001	0.0091321	0.038399	0.00082021	0.87151	0.0012778	5314.0	0.0	2	1	1	581.27993	-179.49061
cell_251	0.00066561	0.021691	0.0013896	0.021428	0.00019831	0.95434	0.00028468	5693.0	0.0	2	1	1	587.65066	-178.95141999999998
cell_259	0.0016534000000000002	0.01977	0.0028508	0.041849000000000004	0.00051836	0.93265	0.00071255	4777.0	0.0	2	1	1	625.73339	-157.07639
cell_263	1.0	4.0920999999999996e-15	3.1353e-16	0.0	2.2667e-15	0.0	0.0	3797.0	0.0	8	1	1	82.85025	-879.37058
cell_272	1.0	2.0884e-14	1.1123e-15	1.37e-15	3.3408000000000006e-17	1.0848000000000001e-14	4.9417e-16	4691.0	0.0	8	1	1	63.57408	-859.0654400000001
cell_323	0.0018728999999999998	0.023357	0.0034938	0.033968	0.00090308	0.9350700000000001	0.0013357999999999998	4373.0	0.0	2	1	1	583.50085	-161.02678999999998
cell_330	1.0	6.0861e-15	3.0272e-15	3.1983e-15	3.2116e-15	2.8831999999999996e-15	1.2509999999999998e-16	3934.0	0.0	8	1	1	67.18636	-863.84969
cell_338	3.5716e-05	6.723100000000001e-05	0.99908	0.00077144	6.7182e-06	3.3998e-05	6.463400000000001e-06	4011.0	0.0	10	1	1	419.53254000000004	-19.95051
cell_358	1.0	1.9480000000000003e-14	1.1735e-15	1.1323e-15	4.1512000000000003e-16	7.5335e-15	2.8817e-17	2826.0	0.0	8	1	1	81.26966	-881.21113
cell_362	1.0	3.214e-15	1.081e-15	4.4048999999999994e-16	3.4512000000000002e-16	2.8425e-15	3.195e-17	2840.0	0.0	8	1	1	73.34594	-871.6659599999999
cell_388	3.0988000000000005e-09	5.3576e-07	3.2533e-07	1.0	1.4826e-09	2.3349e-07	1.495e-09	3387.0	0.0	11	1	1	476.4759	-112.28553000000001
cell_397	1.0	2.974e-15	4.8593e-17	3.0365e-15	1.5284000000000001e-15	3.5687e-15	1.0150000000000001e-15	3138.0	0.0	8	1	1	70.64585	-868.6084199999999
cell_398	1.047e-05	2.0835e-05	0.9992700000000001	0.00067986	1.9791e-06	1.2718e-05	2.1552e-06	3871.0	0.0	10	1	1	422.62721	-7.101260000000001
cell_433	1.0	3.044e-15	1.6480999999999999e-15	5.1427e-16	3.9460000000000004e-16	4.103e-15	3.7618000000000004e-17	2738.0	0.0	8	1	1	80.68592	-880.72012
cell_448	2.271e-15	1.0	4.7936e-16	3.0288e-16	0.0	3.3432e-16	5.5103e-16	3111.0	0.0	3	1	1	563.73882	-880.8925300000001
cell_469	1.0	5.5278e-16	2.6455000000000003e-16	9.0498e-17	7.0517e-17	2.6869e-16	1.2678e-16	2464.0	0.0	8	1	1	83.2813	-878.9589599999999
cell_476	0.0008449999999999999	0.010231	0.0022231	0.019808000000000003	0.00018621	0.9664200000000001	0.00028484	2635.0	0.0	2	1	1	604.36582	-165.00406999999998
